"","Months","Total_death"
"861","Aug","0"
"862","Aug","0"
"863","Aug","0"
"864","Aug","0"
"865","Aug","0"
"866","Aug","5"
"867","Aug","3"
"868","Aug","1"
"869","Aug","1"
"870","Aug","2"
"871","Aug","0"
"872","Aug","3"
"873","Aug","3"
"874","Aug","0"
"875","Aug","0"
"876","Sep","1"
"877","Sep","0"
"878","Sep","1"
"879","Sep","1"
"880","Sep","2"
"881","Sep","1"
"882","Sep","0"
"883","Sep","2"
"884","Sep","1"
"885","Sep","0"
"886","Sep","1"
"887","Sep","0"
"888","Sep","2"
"889","Sep","2"
"890","Sep","0"
"891","Sep","1"
"892","Sep","2"
"893","Sep","0"
"894","Sep","2"
"895","Sep","0"
"896","Sep","0"
"897","Sep","0"
"898","Sep","0"
"899","Sep","0"
"900","Sep","0"
"901","Sep","1"
"902","Sep","1"
"903","Sep","0"
"904","Sep","1"
"905","Sep","0"
"906","Oct","0"
"907","Oct","0"
"908","Oct","1"
"909","Oct","3"
"910","Oct","1"
"911","Oct","0"
"912","Oct","0"
"913","Oct","0"
"914","Oct","0"
"915","Oct","2"
"916","Oct","1"
"917","Oct","0"
"918","Oct","0"
"919","Oct","2"
"920","Oct","1"
"921","Oct","1"
"922","Oct","0"
"923","Oct","0"
"924","Oct","1"
"925","Oct","1"
"926","Oct","5"
"927","Oct","0"
"928","Oct","0"
"929","Oct","1"
"930","Oct","1"
"931","Oct","0"
"932","Oct","0"
"933","Oct","1"
"934","Oct","0"
"935","Oct","0"
"936","Nov","1"
"937","Nov","1"
"938","Nov","0"
"939","Nov","2"
"940","Nov","0"
"941","Nov","1"
"942","Nov","0"
"943","Nov","2"
"944","Nov","1"
"945","Nov","0"
"946","Nov","0"
"947","Nov","0"
"948","Nov","0"
"949","Nov","0"
"950","Nov","0"
"951","Nov","1"
"952","Nov","0"
"953","Nov","0"
"954","Nov","0"
"955","Nov","1"
"956","Nov","0"
"957","Nov","1"
"958","Nov","1"
"959","Nov","0"
"960","Nov","0"
"961","Nov","0"
"962","Nov","0"
"963","Nov","0"
"964","Nov","0"
"965","Nov","0"
"966","Dec","0"
"967","Dec","1"
"968","Dec","0"
"969","Dec","0"
"970","Dec","0"
"971","Dec","1"
"972","Dec","0"
"973","Dec","2"
"974","Dec","2"
"975","Dec","0"
"976","Dec","0"
"977","Dec","0"
"978","Dec","1"
"979","Dec","3"
"980","Dec","0"
"981","Dec","0"
"982","Dec","0"
"983","Dec","1"
"984","Dec","1"
"985","Dec","0"
"986","Dec","0"
"987","Dec","0"
"988","Dec","0"
"989","Dec","0"
"990","Dec","0"
"991","Dec","1"
"992","Dec","0"
"993","Dec","0"
"994","Dec","0"
"995","Dec","1"
"996","Dec","2"
"997","Jan","0"
"998","Jan","0"
"999","Jan","0"
"1000","Jan","1"
"1001","Jan","0"
"1002","Jan","0"
"1003","Jan","0"
"1004","Jan","1"
"1005","Jan","1"
"1006","Jan","2"
"1007","Jan","0"
"1008","Jan","0"
"1009","Jan","1"
"1010","Jan","0"
"1011","Jan","0"
"1012","Jan","0"
"1013","Jan","2"
"1014","Jan","2"
"1015","Jan","0"
"1016","Jan","1"
"1017","Jan","0"
"1018","Jan","0"
"1019","Jan","1"
"1020","Jan","0"
"1021","Jan","1"
"1022","Jan","1"
"1023","Jan","0"
"1024","Jan","2"
"1025","Jan","1"
"1026","Jan","0"
"1027","Jan","2"
"1028","Feb","1"
"1029","Feb","3"
"1030","Feb","0"
"1031","Feb","0"
"1032","Feb","2"
"1033","Feb","0"
"1034","Feb","0"
"1035","Feb","3"
"1036","Feb","0"
"1037","Feb","0"
"1038","Feb","0"
"1039","Feb","0"
"1040","Feb","0"
"1041","Feb","0"
"1042","Feb","0"
"1043","Feb","0"
"1044","Feb","0"
"1045","Feb","0"
"1046","Feb","0"
"1047","Feb","1"
"1048","Feb","0"
"1049","Feb","0"
"1050","Feb","0"
"1051","Feb","0"
"1052","Feb","0"
"1053","Feb","0"
"1054","Feb","1"
"1055","Mar","0"
"1056","Mar","0"
"1057","Mar","0"
"1058","Mar","0"
"1059","Mar","0"
"1060","Mar","0"
"1061","Mar","0"
"1062","Mar","0"
"1063","Mar","0"
"1064","Mar","1"
"1065","Mar","0"
"1066","Mar","1"
"1067","Mar","0"
"1068","Mar","0"
"1069","Mar","0"
"1070","Mar","0"
"1071","Mar","0"
"1072","Mar","0"
"1073","Mar","0"
"1074","Mar","0"
"1075","Mar","0"
"1076","Mar","1"
"1077","Mar","0"
"1078","Mar","0"
"1079","Mar","0"
"1080","Mar","0"
"1081","Mar","0"
"1082","Mar","0"
"1083","Mar","0"
"1084","Mar","0"
"1085","Apr","1"
"1086","Apr","0"
"1087","Apr","0"
"1088","Apr","0"
"1089","Apr","1"
"1090","Apr","0"
"1091","Apr","0"
"1092","Apr","0"
"1093","Apr","0"
"1094","Apr","0"
"1095","Apr","0"
"1096","Apr","1"
"1097","Apr","0"
"1098","Apr","0"
"1099","Apr","0"
"1100","Apr","0"
"1101","Apr","0"
"1102","Apr","0"
"1103","Apr","0"
"1104","Apr","1"
"1105","Apr","1"
"1106","Apr","0"
"1107","Apr","0"
"1108","Apr","0"
"1109","Apr","1"
"1110","Apr","3"
"1111","Apr","1"
"1112","Apr","0"
"1113","Apr","0"
"1114","Apr","0"
"1115","May","0"
"1116","May","0"
"1117","May","1"
"1118","May","0"
"1119","May","1"
"1120","May","1"
"1121","May","2"
"1122","May","5"
"1123","May","1"
"1124","May","0"
"1125","May","1"
"1126","May","3"
"1127","May","0"
"1128","May","1"
"1129","May","0"
"1130","May","4"
"1131","May","1"
"1132","May","0"
"1133","May","0"
"1134","May","0"
"1135","May","0"
"1136","May","0"
"1137","May","0"
"1138","May","1"
"1139","May","0"
"1140","May","0"
"1141","May","1"
"1142","May","0"
"1143","May","0"
"1144","May","1"
"1145","May","0"
"1146","Jun","0"
"1147","Jun","2"
"1148","Jun","1"
"1149","Jun","0"
"1150","Jun","0"
"1151","Jun","0"
"1152","Jun","0"
"1153","Jun","0"
"1154","Jun","0"
"1155","Jun","1"
"1156","Jun","0"
"1157","Jun","0"
"1158","Jun","1"
"1159","Jun","0"
"1160","Jun","1"
"1161","Jun","0"
"1162","Jun","0"
"1163","Jun","0"
"1164","Jun","0"
"1165","Jun","2"
"1166","Jun","0"
"1167","Jun","1"
"1168","Jun","1"
"1169","Jun","0"
"1170","Jun","0"
"1171","Jun","0"
"1172","Jun","0"
"1173","Jun","0"
"1174","Jul","0"
"1175","Jul","0"
"1176","Jul","2"
"1177","Jul","0"
"1178","Jul","1"
"1179","Jul","0"
"1180","Jul","0"
"1181","Jul","0"
"1182","Jul","1"
"1183","Jul","0"
"1184","Jul","0"
"1185","Jul","0"
"1186","Jul","0"
"1187","Jul","0"
"1188","Jul","0"
"1189","Jul","0"
"1190","Jul","0"
"1191","Jul","0"
"1192","Jul","1"
"1193","Jul","1"
"1194","Jul","0"
"1195","Jul","0"
"1196","Jul","0"
"1197","Jul","0"
"1198","Jul","0"
"1199","Jul","1"
"1200","Jul","0"
"1201","Jul","1"
"1202","Aug","0"
"1203","Aug","0"
"1204","Aug","2"
"1205","Aug","0"
"1206","Aug","0"
"1207","Aug","0"
"1208","Aug","0"
"1209","Aug","0"
"1210","Aug","1"
"1211","Aug","1"
"1212","Aug","0"
"1213","Aug","1"
"1214","Aug","1"
"1215","Aug","0"
"1216","Aug","0"
"1217","Aug","0"
"1218","Aug","0"
"1219","Aug","0"
"1220","Aug","0"
"1221","Aug","0"
"1222","Aug","0"
"1223","Aug","0"
"1224","Aug","0"
"1225","Aug","0"
"1226","Aug","0"
"1227","Aug","2"
"1228","Aug","0"
"1229","Aug","0"
"1230","Sep","0"
"1231","Sep","0"
"1232","Sep","0"
"1233","Sep","0"
"1234","Sep","0"
"1235","Sep","0"
"1236","Sep","1"
"1237","Sep","0"
"1238","Sep","1"
"1239","Sep","0"
"1240","Sep","0"
"1241","Sep","0"
"1242","Sep","0"
"1243","Sep","0"
"1244","Sep","0"
"1245","Sep","0"
"1246","Sep","0"
"1247","Sep","0"
"1248","Sep","0"
"1249","Sep","0"
"1250","Sep","1"
"1251","Sep","0"
"1252","Sep","0"
"1253","Sep","0"
"1254","Sep","1"
"1255","Sep","1"
"1256","Sep","1"
"1257","Sep","0"
"1258","Sep","0"
"1259","Oct","0"
"1260","Oct","0"
"1261","Oct","0"
"1262","Oct","0"
"1263","Oct","0"
"1264","Oct","1"
"1265","Oct","0"
"1266","Oct","0"
"1267","Oct","0"
"1268","Oct","0"
"1269","Oct","0"
"1270","Oct","0"
"1271","Oct","0"
"1272","Oct","0"
"1273","Oct","1"
"1274","Oct","0"
"1275","Mar","0"
"1276","Mar","1"
"1277","Mar","0"
"1278","Mar","0"
"1279","Mar","0"
"1280","Mar","0"
"1281","Mar","0"
"1282","Mar","0"
"1283","Mar","0"
"1284","Mar","1"
"1285","Mar","0"
"1286","Mar","0"
"1287","Mar","0"
"1288","Mar","1"
"1289","Mar","1"
"1290","Mar","1"
"1291","Mar","0"
"1292","Mar","1"
"1293","Mar","2"
"1294","Mar","2"
"1295","Mar","0"
"1296","Apr","1"
"1297","Apr","2"
"1298","Apr","2"
"1299","Apr","1"
"1300","Apr","1"
"1301","Apr","1"
"1302","Apr","2"
"1303","Apr","1"
"1304","Apr","1"
"1305","Apr","0"
"1306","Apr","0"
"1307","Apr","1"
"1308","Apr","0"
"1309","Apr","0"
"1310","Apr","0"
"1311","Apr","1"
"1312","Apr","1"
"1313","Apr","1"
"1314","Apr","0"
"1315","Apr","0"
"1316","Apr","0"
"1317","Apr","0"
"1318","Apr","0"
"1319","Apr","1"
"1320","Apr","0"
"1321","Apr","0"
"1322","Apr","0"
"1323","Apr","1"
"1324","Apr","0"
"1325","Apr","2"
"1326","May","0"
"1327","May","1"
"1328","May","0"
"1329","May","0"
"1330","May","0"
"1331","May","0"
"1332","May","0"
"1333","May","0"
"1334","May","0"
"1335","May","0"
"1336","May","0"
"1337","May","0"
"1338","May","0"
"1339","May","0"
"1340","May","0"
"1341","May","0"
"1342","May","0"
"1343","May","0"
"1344","May","0"
"1345","May","0"
"1346","May","0"
"1347","May","0"
"1348","May","0"
"1349","May","0"
"1350","May","0"
"1351","May","1"
"1352","May","0"
"1353","May","1"
"1354","May","0"
"1355","May","0"
"1356","May","0"
"1357","Jun","0"
"1358","Jun","0"
"1359","Jun","0"
"1360","Jun","0"
"1361","Jun","0"
"1362","Jun","0"
"1363","Jun","0"
"1364","Jun","1"
"1365","Jun","0"
"1366","Jun","0"
"1367","Jun","0"
"1368","Jun","0"
"1369","Jun","1"
"1370","Jun","1"
"1371","Jun","0"
"1372","Jun","0"
"1373","Jun","0"
"1374","Jun","1"
"1375","Jun","1"
"1376","Jun","1"
"1377","Jun","3"
"1378","Jun","1"
"1379","Jun","1"
"1380","Jun","0"
"1381","Jun","1"
"1382","Jun","2"
"1383","Jun","2"
"1384","Jun","2"
"1385","Jun","2"
