"","Years","Total_death"
"1612",2021,16
"1613",2021,15
"1614",2021,14
"1615",2021,14
"1616",2021,12
"1617",2021,12
"1618",2021,12
"1619",2021,15
"1620",2021,18
"1621",2021,17
"1622",2021,19
"1623",2021,17
"1624",2021,13
"1625",2021,15
"1626",2021,15
"1627",2021,19
"1628",2021,21
"1629",2021,20
"1630",2021,19
"1631",2021,21
"1632",2021,20
"1633",2021,19
"1634",2021,21
"1635",2021,20
"1636",2021,21
"1637",2021,21
"1638",2021,21
"1639",2021,17
"1640",2021,13
"1641",2021,17
"1642",2021,16
"1643",2021,16
"1644",2021,12
"1645",2021,15
"1646",2021,15
"1647",2021,17
"1648",2021,15
"1649",2021,14
"1650",2021,16
"1651",2021,11
"1652",2021,4
"1653",2021,8
"1654",2021,11
"1655",2021,15
"1656",2021,13
"1657",2021,8
"1658",2021,12
"1659",2021,6
"1660",2021,6
